"class","Ce","LCOMCK","LCOMHS","LCOMPFI","LCOMTC","NOF","WMC","line.coverage","instructions.coverage","branche.coverage","complexity.coverage","method.coverage","mutants.score"
"org:apache:commons:math:ConvergingAlgorithmImpl",4,35,90,96,162,7,11,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:analysis:integration:LegendreGaussIntegrator",8,0,25,33,0,2,13,0.94,0.9325153374233128,0.8,0.7142857142857143,0.8,0.51
"org:apache:commons:math:analysis:integration:RombergIntegrator",8,0,0,0,0,0,10,0.8888888888888888,0.9005524861878453,0.8333333333333334,0.6363636363636364,0.6,0.45
"org:apache:commons:math:analysis:integration:SimpsonIntegrator",8,0,0,0,0,0,10,0.7741935483870968,0.7261146496815286,0.75,0.5454545454545454,0.6,0.52
"org:apache:commons:math:analysis:integration:TrapezoidIntegrator",8,0,0,0,0,1,12,0.8857142857142857,0.9037433155080213,0.8571428571428571,0.6923076923076923,0.6666666666666666,0.38
"org:apache:commons:math:analysis:integration:UnivariateRealIntegratorImpl",9,3,79,81,131,5,14,0.5945945945945946,0.6397058823529411,0.5,0.5333333333333333,0.6,1.0
"org:apache:commons:math:analysis:interpolation:SmoothingBicubicSplineInterpolator",12,0,0,0,0,0,22,0.9818181818181818,0.9865591397849462,0.9285714285714286,0.88,1.0,0.66
"org:apache:commons:math:analysis:solvers:BisectionSolver",6,0,0,0,0,0,9,0.8695652173913043,0.8021978021978022,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8
"org:apache:commons:math:complex:Complex",12,0,56,79,89,4,73,0.9798657718120806,0.9817142857142858,0.9396551724137931,0.9139784946236559,0.9714285714285714,0.88
"org:apache:commons:math:distribution:AbstractContinuousDistribution",11,0,0,0,0,1,8,0.6190476190476191,0.6486486486486487,0.5,0.5,0.5,1.0
"org:apache:commons:math:distribution:AbstractDistribution",6,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:distribution:AbstractIntegerDistribution",9,0,0,0,0,0,19,0.7906976744186046,0.740909090909091,0.7916666666666666,0.7368421052631579,0.8571428571428571,1.0
"org:apache:commons:math:distribution:BetaDistributionImpl",6,0,66,78,101,4,26,0.673469387755102,0.67,0.6363636363636364,0.5925925925925926,0.6875,0.71
"org:apache:commons:math:distribution:CauchyDistributionImpl",5,0,60,85,69,3,24,0.6530612244897959,0.7177033492822966,0.5555555555555556,0.64,0.6875,0.74
"org:apache:commons:math:distribution:ChiSquaredDistributionImpl",9,0,50,88,47,2,20,0.8205128205128205,0.835820895522388,1.0,0.9,0.875,0.63
"org:apache:commons:math:distribution:ExponentialDistributionImpl",7,0,57,100,81,2,20,0.7714285714285715,0.8266666666666667,0.75,0.7142857142857143,0.6923076923076923,0.72
"org:apache:commons:math:distribution:FDistributionImpl",7,3,67,87,88,3,21,1.0,1.0,1.0,1.0,1.0,0.88
"org:apache:commons:math:distribution:GammaDistributionImpl",7,0,57,78,97,3,24,1.0,1.0,1.0,1.0,1.0,0.81
"org:apache:commons:math:distribution:NormalDistributionImpl",8,0,63,88,72,3,27,0.8703703703703703,0.8578199052132701,0.7222222222222222,0.8888888888888888,1.0,1.0
"org:apache:commons:math:distribution:TDistributionImpl",6,2,63,100,97,2,17,0.96875,0.9787234042553191,0.9,0.9411764705882353,1.0,0.93
"org:apache:commons:math:distribution:WeibullDistributionImpl",5,0,57,78,97,3,22,0.8604651162790697,0.8844221105527639,0.875,0.7391304347826086,0.7333333333333333,0.8
"org:apache:commons:math:genetics:AbstractListChromosome",9,0,0,0,0,1,6,0.9166666666666666,0.7241379310344828,1.0,0.8,0.8,1.0
"org:apache:commons:math:genetics:BinaryChromosome",8,0,0,0,0,0,12,0.9523809523809523,0.978021978021978,0.9375,0.9230769230769231,1.0,1.0
"org:apache:commons:math:genetics:BinaryMutation",10,0,0,0,0,0,3,0.8888888888888888,0.8913043478260869,0.75,0.75,1.0,0.75
"org:apache:commons:math:genetics:Chromosome",8,0,0,0,0,1,9,0.9333333333333333,0.9655172413793104,0.875,0.8,0.8333333333333334,1.0
"org:apache:commons:math:genetics:ElitisticListPopulation",7,0,0,0,0,1,7,0.7894736842105263,0.7901234567901234,0.3333333333333333,0.625,0.8,0.51
"org:apache:commons:math:genetics:FixedGenerationCount",6,0,0,0,0,2,5,0.8181818181818182,0.7647058823529411,0.75,0.6,0.6666666666666666,0.8
"org:apache:commons:math:genetics:GeneticAlgorithm",12,19,97,100,130,6,18,0.9024390243902439,0.9197530864197531,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.42
"org:apache:commons:math:genetics:InvalidRepresentationException",4,0,0,0,0,0,4,0.25,0.25,1.0,0.25,0.25,0.0
"org:apache:commons:math:genetics:ListPopulation",9,0,0,0,0,2,16,0.7333333333333333,0.7352941176470589,0.7,0.625,0.7272727272727273,1.0
"org:apache:commons:math:genetics:OnePointCrossover",12,0,0,0,0,0,6,0.8947368421052632,0.9065420560747663,0.7,0.625,1.0,0.69
"org:apache:commons:math:genetics:RandomKey",28,0,50,67,25,2,27,0.9375,0.8328445747800587,0.90625,0.8571428571428571,0.9166666666666666,1.0
"org:apache:commons:math:genetics:RandomKeyMutation",9,0,0,0,0,0,2,0.8888888888888888,0.7021276595744681,0.5,0.6666666666666666,1.0,0.33
"org:apache:commons:math:genetics:TournamentSelection",11,0,0,0,0,1,7,0.75,0.8378378378378378,0.75,0.5714285714285714,0.6,0.56
"org:apache:commons:math:linear:AbstractRealVector",18,0,0,0,0,0,168,0.49122807017543857,0.5040783034257749,0.46078431372549017,0.6232876712328768,0.7684210526315789,1.0
"org:apache:commons:math:linear:ArrayFieldVector",18,0,34,66,6,2,120,0.8283582089552238,0.8703208556149733,0.9210526315789473,0.9142857142857143,0.9552238805970149,0.63
"org:apache:commons:math:linear:ArrayRealVector",20,0,0,0,0,1,196,0.9681372549019608,0.9794801641586868,0.9835164835164835,0.9846153846153847,1.0,0.81
"org:apache:commons:math:linear:EigenDecompositionImpl",15,25,88,88,302,10,84,0.9177215189873418,0.9234042553191489,0.875,0.7966101694915254,0.8,0.78
"org:apache:commons:math:linear:OpenMapRealVector",19,0,53,74,45,3,141,0.8444444444444444,0.8267558528428094,0.756578947368421,0.708029197080292,0.8688524590163934,0.52
"org:apache:commons:math:linear:SingularValueDecompositionImpl",15,4,85,75,322,9,38,0.958904109589041,0.9497991967871486,0.9210526315789473,0.8709677419354839,0.9166666666666666,0.8
"org:apache:commons:math:ode:AbstractIntegrator",18,61,89,92,196,8,32,0.9423076923076923,0.97265625,1.0,0.9285714285714286,0.9,1.0
"org:apache:commons:math:ode:events:CombinedEventsManager",17,0,60,65,87,3,31,0.8947368421052632,0.8870967741935484,0.8529411764705882,0.8571428571428571,1.0,0.97
"org:apache:commons:math:ode:events:EventState",14,9,78,61,754,13,28,0.875,0.9195402298850575,0.7833333333333333,0.7804878048780488,1.0,0.79
"org:apache:commons:math:ode:nonstiff:AdamsBashforthIntegrator",12,0,0,0,0,0,17,0.9285714285714286,0.9047619047619048,0.8888888888888888,0.8095238095238095,1.0,0.66
